Instance|Question|Answer|Label
Last week , my girlfriend and I decided to renovate our basement . We wanted to make it look new and fresh . First , we took pictures of it and spent some time looking at the pictures , deciding what we wanted to keep and what things we wanted to change about the room . We then made a list of things we needed to buy at the store to accomplish this renovation . We came back home and began working in the basement . We worked together and removed certain things first . Then , we painted the basement walls together . Then , we hung pictures on the walls that we 'd bought . We then placed a few items like a couch and large TV that we 'd bought in the basement . We added our new carpets too . Finally , we put the popcorn machine in the corner of the basement and our basement looked new and fresh ! Our basement had been nicely renovated indeed !#Where did they go with the list?#The supermarket.	0
Last week , my girlfriend and I decided to renovate our basement . We wanted to make it look new and fresh . First , we took pictures of it and spent some time looking at the pictures , deciding what we wanted to keep and what things we wanted to change about the room . We then made a list of things we needed to buy at the store to accomplish this renovation . We came back home and began working in the basement . We worked together and removed certain things first . Then , we painted the basement walls together . Then , we hung pictures on the walls that we 'd bought . We then placed a few items like a couch and large TV that we 'd bought in the basement . We added our new carpets too . Finally , we put the popcorn machine in the corner of the basement and our basement looked new and fresh ! Our basement had been nicely renovated indeed !#Where did they go with the list?#to the store	1
Last week , my girlfriend and I decided to renovate our basement . We wanted to make it look new and fresh . First , we took pictures of it and spent some time looking at the pictures , deciding what we wanted to keep and what things we wanted to change about the room . We then made a list of things we needed to buy at the store to accomplish this renovation . We came back home and began working in the basement . We worked together and removed certain things first . Then , we painted the basement walls together . Then , we hung pictures on the walls that we 'd bought . We then placed a few items like a couch and large TV that we 'd bought in the basement . We added our new carpets too . Finally , we put the popcorn machine in the corner of the basement and our basement looked new and fresh ! Our basement had been nicely renovated indeed !#What was bought at the store?#a new laptop	0
Last week , my girlfriend and I decided to renovate our basement . We wanted to make it look new and fresh . First , we took pictures of it and spent some time looking at the pictures , deciding what we wanted to keep and what things we wanted to change about the room . We then made a list of things we needed to buy at the store to accomplish this renovation . We came back home and began working in the basement . We worked together and removed certain things first . Then , we painted the basement walls together . Then , we hung pictures on the walls that we 'd bought . We then placed a few items like a couch and large TV that we 'd bought in the basement . We added our new carpets too . Finally , we put the popcorn machine in the corner of the basement and our basement looked new and fresh ! Our basement had been nicely renovated indeed !#What was bought at the store?#paint, couch, TV, carpets, pictures	1
Last week , my girlfriend and I decided to renovate our basement . We wanted to make it look new and fresh . First , we took pictures of it and spent some time looking at the pictures , deciding what we wanted to keep and what things we wanted to change about the room . We then made a list of things we needed to buy at the store to accomplish this renovation . We came back home and began working in the basement . We worked together and removed certain things first . Then , we painted the basement walls together . Then , we hung pictures on the walls that we 'd bought . We then placed a few items like a couch and large TV that we 'd bought in the basement . We added our new carpets too . Finally , we put the popcorn machine in the corner of the basement and our basement looked new and fresh ! Our basement had been nicely renovated indeed !#Why did they wait until the paint was dried?#So they could hang the pictures up	1
Last week , my girlfriend and I decided to renovate our basement . We wanted to make it look new and fresh . First , we took pictures of it and spent some time looking at the pictures , deciding what we wanted to keep and what things we wanted to change about the room . We then made a list of things we needed to buy at the store to accomplish this renovation . We came back home and began working in the basement . We worked together and removed certain things first . Then , we painted the basement walls together . Then , we hung pictures on the walls that we 'd bought . We then placed a few items like a couch and large TV that we 'd bought in the basement . We added our new carpets too . Finally , we put the popcorn machine in the corner of the basement and our basement looked new and fresh ! Our basement had been nicely renovated indeed !#Why did they wait until the paint was dried?#So they could put down the carpets	0
The sharp buzz of the washing machine timer distracted me from the television show flickering on the screen . I thought about ignoring it , but I had an early shift at the diner the next morning and my only pair of black pants were in the laundry load . I went down the steep stairs to the basement where the laundry room sat , out of the way . I opened the washer and sighed as I looked inside . I grabbed an armful of the clothes from the washer and tossed them into the dryer , than repeated the process until the washer was empty . Without much thought , I tossed in a dryer sheet and slammed the door . I checked the settings , adjusted a few , and heard the comforting hum of the dryer coming to life . Satisfied that I would be ready for work the next day , I returned up the stairs to my television show .#Where were the pants?#in the laundry load	1
The sharp buzz of the washing machine timer distracted me from the television show flickering on the screen . I thought about ignoring it , but I had an early shift at the diner the next morning and my only pair of black pants were in the laundry load . I went down the steep stairs to the basement where the laundry room sat , out of the way . I opened the washer and sighed as I looked inside . I grabbed an armful of the clothes from the washer and tossed them into the dryer , than repeated the process until the washer was empty . Without much thought , I tossed in a dryer sheet and slammed the door . I checked the settings , adjusted a few , and heard the comforting hum of the dryer coming to life . Satisfied that I would be ready for work the next day , I returned up the stairs to my television show .#Where were the pants?#upstairs	0
I am at work . I have a guest sit at the bar . The ordered themselves a beer . I check that he is of age , and that his license is valid . I then go to the beer cooler , and grab a nice cold mug , and fill it up with beer . I place a napkin down and set the beer on top in front of the bar guest . I present him the check and tell him no rush , whenever he is ready . He then places his cash with the receipt . I go to cash him out , offer to be right back with his change , and he responds with , " Keep the change " . I like nights like this .#What did they receive for such an easy task?#a beer	0
I am at work . I have a guest sit at the bar . The ordered themselves a beer . I check that he is of age , and that his license is valid . I then go to the beer cooler , and grab a nice cold mug , and fill it up with beer . I place a napkin down and set the beer on top in front of the bar guest . I present him the check and tell him no rush , whenever he is ready . He then places his cash with the receipt . I go to cash him out , offer to be right back with his change , and he responds with , " Keep the change " . I like nights like this .#What did they receive for such an easy task?#big tip	1
I am at work . I have a guest sit at the bar . The ordered themselves a beer . I check that he is of age , and that his license is valid . I then go to the beer cooler , and grab a nice cold mug , and fill it up with beer . I place a napkin down and set the beer on top in front of the bar guest . I present him the check and tell him no rush , whenever he is ready . He then places his cash with the receipt . I go to cash him out , offer to be right back with his change , and he responds with , " Keep the change " . I like nights like this .#Why did they receive a nice tip?#the customer was happy with the service	1
I am at work . I have a guest sit at the bar . The ordered themselves a beer . I check that he is of age , and that his license is valid . I then go to the beer cooler , and grab a nice cold mug , and fill it up with beer . I place a napkin down and set the beer on top in front of the bar guest . I present him the check and tell him no rush , whenever he is ready . He then places his cash with the receipt . I go to cash him out , offer to be right back with his change , and he responds with , " Keep the change " . I like nights like this .#Why did they receive a nice tip?#the customer was in a rush	0
I am at work . I have a guest sit at the bar . The ordered themselves a beer . I check that he is of age , and that his license is valid . I then go to the beer cooler , and grab a nice cold mug , and fill it up with beer . I place a napkin down and set the beer on top in front of the bar guest . I present him the check and tell him no rush , whenever he is ready . He then places his cash with the receipt . I go to cash him out , offer to be right back with his change , and he responds with , " Keep the change " . I like nights like this .#They ask for identification when they appear what?#too old	0
I am at work . I have a guest sit at the bar . The ordered themselves a beer . I check that he is of age , and that his license is valid . I then go to the beer cooler , and grab a nice cold mug , and fill it up with beer . I place a napkin down and set the beer on top in front of the bar guest . I present him the check and tell him no rush , whenever he is ready . He then places his cash with the receipt . I go to cash him out , offer to be right back with his change , and he responds with , " Keep the change " . I like nights like this .#They ask for identification when they appear what?#at the bar	1
I am at work . I have a guest sit at the bar . The ordered themselves a beer . I check that he is of age , and that his license is valid . I then go to the beer cooler , and grab a nice cold mug , and fill it up with beer . I place a napkin down and set the beer on top in front of the bar guest . I present him the check and tell him no rush , whenever he is ready . He then places his cash with the receipt . I go to cash him out , offer to be right back with his change , and he responds with , " Keep the change " . I like nights like this .#What was the check created for?#to get the list done	0
I am at work . I have a guest sit at the bar . The ordered themselves a beer . I check that he is of age , and that his license is valid . I then go to the beer cooler , and grab a nice cold mug , and fill it up with beer . I place a napkin down and set the beer on top in front of the bar guest . I present him the check and tell him no rush , whenever he is ready . He then places his cash with the receipt . I go to cash him out , offer to be right back with his change , and he responds with , " Keep the change " . I like nights like this .#What was the check created for?#to tell how much the guest has to pay	1
I am at work . I have a guest sit at the bar . The ordered themselves a beer . I check that he is of age , and that his license is valid . I then go to the beer cooler , and grab a nice cold mug , and fill it up with beer . I place a napkin down and set the beer on top in front of the bar guest . I present him the check and tell him no rush , whenever he is ready . He then places his cash with the receipt . I go to cash him out , offer to be right back with his change , and he responds with , " Keep the change " . I like nights like this .#When did they get a tip for an easy task?#when the customer said "keep the change"	1
I am at work . I have a guest sit at the bar . The ordered themselves a beer . I check that he is of age , and that his license is valid . I then go to the beer cooler , and grab a nice cold mug , and fill it up with beer . I place a napkin down and set the beer on top in front of the bar guest . I present him the check and tell him no rush , whenever he is ready . He then places his cash with the receipt . I go to cash him out , offer to be right back with his change , and he responds with , " Keep the change " . I like nights like this .#When did they get a tip for an easy task?#at home	0
I am at work . I have a guest sit at the bar . The ordered themselves a beer . I check that he is of age , and that his license is valid . I then go to the beer cooler , and grab a nice cold mug , and fill it up with beer . I place a napkin down and set the beer on top in front of the bar guest . I present him the check and tell him no rush , whenever he is ready . He then places his cash with the receipt . I go to cash him out , offer to be right back with his change , and he responds with , " Keep the change " . I like nights like this .#What did they create at the computer and print?#change	0
